2025.05.07 08:23:27 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references'': success | time=8ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references'': success | time=9ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references'': success | time=13ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues'': success | time=12ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues'': success | time=12ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER': success | time=7ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY': success | time=8ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES': success | time=8ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE': success | time=16ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method'...
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method': success | time=4ms
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties''...
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties'': success | time=13ms
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens''...
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens'': success | time=10ms
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens''...
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens'': success | time=9ms
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens''...
2025.05.07 08:23:28 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens'': success | time=6ms
